,mean,mean_with_1_as_min,efficientnet-b0_from_efficientnet-b2,efficientnet-b0_from_semnasnet_100,efficientnet-b0_from_regnety_004,efficientnet-b0_from_tf_mobilenetv3_large_minimal_100,efficientnet-b1_from_mixnet_s,efficientnet-b2_from_efficientnet-b0,efficientnet-b2_from_efficientnet-b1,resnet_14_from_resnet_20,resnet_14_from_resnet_wide_14,resnet_wide_20_from_resnet_20,resnet_wide_20_from_resnet_wide_14,mnasnet_100_from_efficientnet-b1,mnasnet_100_from_mixnet_s
ClipTransfer-DPMatching-BlocksStandardization,2.185749246862049,2.2166099921973488,2.541176470588235,2.376470588235294,0.8235294117647058,1.588235294117647,1.0829596412556055,3.342331288343558,3.386503067484662,2.424969987995198,2.0168067226890756,3.312597200622084,3.328149300155521,1.4157303370786516,0.7752808988764045
ClipTransfer-DPFlatMatching-FlattenStandardization,1.8816044449391807,1.9955604162646166,1.2588235294117647,2.3176470588235296,0.788235294117647,0.0,1.1233183856502242,3.2981595092024536,3.4012269938650306,2.4489795918367347,2.028811524609844,3.3592534992223952,2.7060653188180406,0.9101123595505618,0.8202247191011236
ClipTransfer-DPMatching-GraphStandardization,2.0378619090617973,2.0460067054418873,1.9176470588235295,1.8941176470588235,0.8941176470588236,1.488235294117647,1.0493273542600898,3.062576687116564,3.4159509202453986,2.3649459783913565,1.8487394957983194,3.141524105754277,3.297045101088647,1.0842696629213484,1.0337078651685394
ClipTransfer-BipartiteMatching-GraphStandardization,1.91100097997039,1.987924056893467,2.364705882352941,1.4352941176470588,0.0,1.188235294117647,1.204035874439462,3.1214723926380366,3.386503067484662,2.388955582232893,1.8487394957983194,2.8304821150855366,3.001555209953344,1.0280898876404494,1.0449438202247192
ClipTransfer-NBipartiteMatching-GraphStandardization,1.734307327751477,1.7502892044931664,1.1823529411764706,1.2941176470588236,1.0941176470588236,1.0470588235294118,0.9551569506726458,1.693251533742331,3.4012269938650306,2.424969987995198,1.6446578631452582,3.1104199066874028,2.8615863141524107,1.0,0.8370786516853933
ClipTransfer-BipartiteMatching-BlocksStandardization,2.113339681579681,2.210141755909845,2.541176470588235,2.376470588235294,0.0,1.7176470588235293,1.1973094170403589,3.357055214723926,3.4012269938650306,2.4489795918367347,2.0408163265306123,3.343701399688958,3.172628304821151,1.1348314606741574,0.7415730337078652
ClipTransfer-NBipartiteMatching-BlocksStandardization,1.8621349480596836,1.9100275709688301,1.1529411764705881,1.9529411764705882,0.6470588235294118,1.3470588235294119,1.251121076233184,1.6417177914110428,3.386503067484662,2.424969987995198,2.0168067226890756,3.3592534992223952,3.297045101088647,0.8876404494382022,0.8426966292134831
ClipTransfer-GraphMatching,1.7100837854559947,1.7135410023963578,1.2470588235294118,1.3764705882352941,1.0588235294117647,1.2058823529411764,1.399103139013453,1.3987730061349692,1.6490797546012268,2.424969987995198,2.0168067226890756,3.141524105754277,3.312597200622084,1.0449438202247192,0.9550561797752809
FullTransfer-DPMatching-BlocksStandardization,2.1533150961564456,2.186184077802691,2.541176470588235,2.3058823529411763,0.6176470588235294,1.5647058823529412,1.1973094170403589,3.32760736196319,3.371779141104294,2.4489795918367347,2.0048019207683074,2.9393468118195956,3.3592534992223952,1.3595505617977528,0.9550561797752809
FullTransfer-BipartiteMatching-BlocksStandardization,2.0525751917502633,2.1320911813786125,2.541176470588235,2.1882352941176473,0.0,1.576470588235294,1.1704035874439462,3.32760736196319,3.386503067484662,2.4489795918367347,2.0168067226890756,2.8771384136858478,3.172628304821151,1.0112359550561798,0.9662921348314607
TraceTransfer-DPMatching-BlocksStandardization,2.047280032657805,2.087706592218535,1.3529411764705883,2.411764705882353,0.7441176470588236,1.811764705882353,1.1300448430493275,3.386503067484662,3.4159509202453986,2.424969987995198,1.4345738295318127,3.312597200622084,3.3748055987558323,1.0842696629213484,0.7303370786516854
TraceTransfer-BipartiteMatching-BlocksStandardization,1.9866366772650006,2.0713384923038944,1.3529411764705883,2.3411764705882354,0.0,1.8588235294117648,1.1838565022421526,3.32760736196319,3.4012269938650306,2.424969987995198,1.3925570228091237,3.297045101088647,3.2348367029548992,1.1123595505617978,0.898876404494382
MagnitudeTransfer-DPMatching-BlocksStandardization,1.9748517891854742,2.0617143648120946,1.3411764705882352,2.4235294117647057,0.0,1.5058823529411764,1.3385650224215246,3.386503067484662,3.386503067484662,2.424969987995198,1.2965186074429773,3.3592534992223952,3.328149300155521,1.0112359550561798,0.8707865168539326
MagnitudeTransfer-BipartiteMatching-BlocksStandardization,2.056172105379165,2.0691366689055264,1.3823529411764706,2.3529411764705883,1.0,1.6705882352941177,1.3721973094170405,3.32760736196319,3.4012269938650306,2.424969987995198,1.3205282112845138,3.328149300155521,3.312597200622084,0.8314606741573034,1.0056179775280898
ClipTransfer-GraphNewMatching,1.9349853218639157,2.019254984785264,2.5294117647058822,2.3058823529411763,0.0,1.5176470588235293,1.3654708520179373,3.01840490797546,3.371779141104294,1.8247298919567827,1.8007202881152462,3.188180404354588,2.255054432348367,1.0730337078651686,0.9044943820224719
