,mean,mean_with_1_as_min,efficientnet-b0_from_efficientnet-b2,efficientnet-b0_from_semnasnet_100,efficientnet-b0_from_regnety_004,efficientnet-b0_from_tf_mobilenetv3_large_minimal_100,efficientnet-b1_from_mixnet_s,efficientnet-b2_from_efficientnet-b0,efficientnet-b2_from_efficientnet-b1,resnet_14_from_resnet_20,resnet_14_from_resnet_wide_14,resnet_wide_20_from_resnet_20,resnet_wide_20_from_resnet_wide_14,mnasnet_100_from_efficientnet-b1,mnasnet_100_from_mixnet_s
ClipTransfer-DPMatching-BlocksStandardization,1.4263454418888217,1.4604819123638053,1.486547085201794,1.4529147982062782,0.7701793721973095,1.251121076233184,0.9488372093023255,1.7575757575757576,1.7575757575757576,1.6126543209876545,1.527777777777778,1.9098143236074272,1.9186560565870912,1.311627906976744,0.8372093023255813
ClipTransfer-DPFlatMatching-FlattenStandardization,1.2594419507680001,1.3818650798341576,1.0762331838565022,1.4327354260089686,0.8340807174887893,0.0,0.9767441860465116,1.7575757575757576,1.7575757575757576,1.6280864197530864,1.527777777777778,1.927497789566755,1.856763925729443,0.8023255813953488,0.7953488372093023
ClipTransfer-DPMatching-GraphStandardization,1.3655411413972773,1.3955631217112585,1.3587443946188342,1.352017937219731,0.7701793721973095,1.1367713004484306,0.9209302325581394,1.7272727272727273,1.7651515151515151,1.5895061728395063,1.4197530864197532,1.865605658709107,1.927497789566755,0.9627906976744185,0.9558139534883721
ClipTransfer-BipartiteMatching-GraphStandardization,1.2813034536392789,1.372180018934449,1.493273542600897,1.1771300448430495,0.0,1.0829596412556055,0.983720930232558,1.7272727272727273,1.7575757575757576,1.6049382716049383,1.396604938271605,1.8037135278514589,1.794871794871795,0.927906976744186,0.9069767441860465
ClipTransfer-NBipartiteMatching-GraphStandardization,1.2342259691824737,1.273286751970444,1.0089686098654709,1.0762331838565022,0.9551569506726458,0.9417040358744395,0.8232558139534883,1.25,1.7575757575757576,1.6049382716049383,1.3271604938271606,1.8037135278514589,1.7241379310344829,0.8651162790697674,0.9069767441860465
ClipTransfer-BipartiteMatching-BlocksStandardization,1.3417762236166466,1.4379300697704926,1.486547085201794,1.4529147982062782,0.0,1.2914798206278029,1.0116279069767442,1.7424242424242424,1.7651515151515151,1.6049382716049383,1.5123456790123457,1.9186560565870912,1.8744473916887712,1.0325581395348837,0.75
ClipTransfer-NBipartiteMatching-BlocksStandardization,1.2926507926207031,1.3491253588303826,1.0358744394618835,1.3721973094170405,0.6995515695067265,1.1300448430493275,1.025581395348837,1.2651515151515151,1.7651515151515151,1.6049382716049383,1.5200617283950617,1.9098143236074272,1.9098143236074272,0.8232558139534883,0.7430232558139535
ClipTransfer-GraphMatching,1.2741529638649776,1.286508467366586,1.0762331838565022,1.1031390134529149,0.9417040358744395,1.0560538116591929,1.1441860465116278,1.0909090909090908,1.3636363636363635,1.6049382716049383,1.527777777777778,1.847922192749779,1.9098143236074272,0.9627906976744185,0.9348837209302325
FullTransfer-DPMatching-BlocksStandardization,1.3990834395324088,1.4436164380804246,1.486547085201794,1.4327354260089686,0.6524663677130045,1.1973094170403589,0.9348837209302325,1.7575757575757576,1.7575757575757576,1.6358024691358026,1.527777777777778,1.8390804597701151,1.9186560565870912,1.213953488372093,0.8337209302325581
FullTransfer-BipartiteMatching-BlocksStandardization,1.3190347176970219,1.4168880271782383,1.493273542600897,1.4125560538116593,0.0,1.1704035874439462,0.9488372093023255,1.7424242424242424,1.7424242424242424,1.6126543209876545,1.4969135802469136,1.8390804597701151,1.9098143236074272,0.9767441860465116,0.8023255813953488
TraceTransfer-DPMatching-BlocksStandardization,1.352558212959485,1.39061102988914,1.0896860986547086,1.4596412556053813,0.7634529147982063,1.298206278026906,0.9767441860465116,1.7651515151515151,1.7575757575757576,1.6203703703703705,1.25,1.9186560565870912,1.9186560565870912,0.9767441860465116,0.7883720930232557
TraceTransfer-BipartiteMatching-BlocksStandardization,1.2911991309220572,1.3885157677735778,1.0896860986547086,1.4529147982062782,0.0,1.3183856502242153,0.9558139534883721,1.7575757575757576,1.7575757575757576,1.6126543209876545,1.242283950617284,1.9098143236074272,1.9098143236074272,0.9348837209302325,0.8441860465116279
MagnitudeTransfer-DPMatching-BlocksStandardization,1.2915392996202046,1.3811636287794176,1.0964125560538118,1.446188340807175,0.0,1.2376681614349776,1.1372093023255814,1.7575757575757576,1.7575757575757576,1.6203703703703705,1.0648148148148149,1.9186560565870912,1.9186560565870912,0.8999999999999999,0.9348837209302325
MagnitudeTransfer-BipartiteMatching-BlocksStandardization,1.3536956828352327,1.3823992454109406,1.0964125560538118,1.439461883408072,0.8408071748878925,1.2645739910313902,1.1441860465116278,1.75,1.7651515151515151,1.6049382716049383,1.095679012345679,1.9098143236074272,1.9009725906277632,0.8232558139534883,0.9627906976744185
ClipTransfer-GraphNewMatching,1.2909305426301605,1.382433225993309,1.4798206278026906,1.4327354260089686,0.0,1.2309417040358746,1.0674418604651161,1.7121212121212122,1.7575757575757576,1.404320987654321,1.4737654320987654,1.892130857648099,1.5207780725022104,0.9558139534883721,0.8546511627906976
