,mean,mean_with_1_as_min,efficientnet-b0_from_efficientnet-b2,efficientnet-b0_from_semnasnet_100,efficientnet-b0_from_regnety_004,efficientnet-b0_from_tf_mobilenetv3_large_minimal_100,efficientnet-b1_from_mixnet_s,efficientnet-b2_from_efficientnet-b0,efficientnet-b2_from_efficientnet-b1,resnet_14_from_resnet_20,resnet_14_from_resnet_wide_14,resnet_wide_20_from_resnet_20,resnet_wide_20_from_resnet_wide_14,mnasnet_100_from_efficientnet-b1,mnasnet_100_from_mixnet_s,regnety_004_from_regnetx_004
ClipTransfer-DPMatching-BlocksStandardization,2.5707627173291985,2.6156875293592736,3.941052631578947,3.7136842105263157,0.37105263157894736,3.1705263157894734,1.3267326732673268,3.419795221843003,3.358361774744027,2.2314049586776856,1.8732782369146004,3.6340206185567014,3.8402061855670104,2.5399568034557234,1.3801295896328294,1.1904761904761905
ClipTransfer-DPFlatMatching-FlattenStandardization,1.7641761609401705,1.9994430538744499,1.8821052631578947,3.4357894736842103,0.0,1.6673684210526314,1.2277227722772277,0.0,3.358361774744027,2.203856749311295,1.8916437098255279,3.6082474226804124,3.4536082474226806,0.7062634989200863,1.263498920086393,0.0
ClipTransfer-DPMatching-GraphStandardization,2.199216643879558,2.2706452153081296,2.8168421052631576,3.132631578947368,1.4589473684210525,1.6294736842105262,1.5247524752475248,3.15358361774744,3.358361774744027,1.9834710743801651,1.5059687786960514,3.4020618556701034,3.4536082474226806,1.6069114470842332,1.7624190064794816,0.0
ClipTransfer-BipartiteMatching-GraphStandardization,1.968432660322913,2.1546571501188314,3.7389473684210524,0.0,1.5978947368421053,0.0,1.5544554455445545,3.296928327645051,3.358361774744027,2.09366391184573,1.6620752984389346,3.0670103092783507,3.65979381443299,1.6198704103671706,1.5161987041036715,0.39285714285714285
ClipTransfer-NBipartiteMatching-GraphStandardization,1.8979381313547703,1.9876490157085116,1.9452631578947368,2.1221052631578945,0.0,1.3136842105263158,1.5445544554455446,1.9453924914675766,3.358361774744027,1.5977961432506886,1.8732782369146004,3.3247422680412373,3.737113402061856,1.4838012958963283,1.5809935205183585,0.7440476190476191
ClipTransfer-BipartiteMatching-BlocksStandardization,2.428475473821274,2.571332616678417,3.941052631578947,3.7389473684210524,0.0,3.1705263157894734,1.4554455445544554,3.3993174061433447,3.3378839590443685,2.0752984389348024,1.8549127640036729,3.6082474226804124,3.814432989690722,2.0475161987041037,1.5550755939524836,0.0
ClipTransfer-NBipartiteMatching-BlocksStandardization,2.0913127365618265,2.0913127365618265,1.983157894736842,2.854736842105263,1.1873684210526314,1.6926315789473683,1.6633663366336633,1.781569965870307,3.358361774744027,2.09366391184573,1.8732782369146004,3.65979381443299,3.711340206185567,1.1144708423326133,1.2570194384449243,1.0476190476190477
FullTransfer-DPMatching-BlocksStandardization,2.2178984215902133,2.3200788727180326,3.941052631578947,3.2842105263157895,0.6663157894736842,0.903157894736842,1.1633663366336633,3.31740614334471,3.255972696245734,2.2130394857667586,1.8732782369146004,2.963917525773196,3.814432989690722,2.462203023758099,1.1922246220302375,0.0
FullTransfer-BipartiteMatching-BlocksStandardization,2.3331976527469718,2.4046262241755434,3.941052631578947,3.2842105263157895,0.0,1.768421052631579,1.702970297029703,3.31740614334471,3.2764505119453924,2.09366391184573,1.8916437098255279,3.0154639175257736,3.7886597938144333,1.814254859611231,1.4967602591792655,1.2738095238095237
TraceTransfer-DPMatching-BlocksStandardization,2.0365456628433583,2.114618116705286,1.654736842105263,3.5621052631578944,0.9978947368421052,0.0,1.4257425742574257,3.358361774744027,3.3378839590443685,2.203856749311295,0.9090909090909091,3.65979381443299,3.8402061855670104,1.101511879049676,1.2699784017278617,1.1904761904761905
TraceTransfer-BipartiteMatching-BlocksStandardization,2.196342265459029,2.2252145839964195,1.6168421052631579,3.5621052631578944,1.2505263157894737,0.6821052631578947,1.7425742574257426,3.3993174061433447,3.358361774744027,2.1120293847566574,0.9136822773186409,3.65979381443299,3.711340206185567,1.5809935205183585,1.736501079913607,1.4226190476190477
MagnitudeTransfer-DPMatching-BlocksStandardization,2.0916565757936896,2.1841047171324655,1.9326315789473683,3.5115789473684207,0.0,1.743157894736842,1.5247524752475248,3.3788395904436856,3.358361774744027,2.203856749311295,0.7208448117539026,3.65979381443299,3.8659793814432994,0.9848812095032397,1.386609071274298,1.0119047619047619
MagnitudeTransfer-BipartiteMatching-BlocksStandardization,2.2661055563033337,2.287453081086947,1.92,3.486315789473684,1.0989473684210527,2.6021052631578945,1.7425742574257426,3.3788395904436856,3.31740614334471,2.0752984389348024,0.7162534435261707,3.65979381443299,3.7628865979381447,0.9848812095032397,1.6587473002159827,1.3214285714285714
ClipTransfer-GraphNewMatching,1.98339540532078,2.1590389612609884,3.8652631578947365,3.1957894736842105,0.0,0.6442105263157895,0.5767326732673267,3.2764505119453924,3.31740614334471,1.487603305785124,0.9366391184573002,3.65979381443299,3.2989690721649487,2.125269978401728,0.6155507559395248,0.7678571428571429
ClipTransfer-RandomMatching-FlattenStandardization,0.7650665237089768,1.1674008310794568,1.6926315789473683,1.6421052631578947,0.0,0.0,1.4653465346534653,1.0597269624573378,0.0,0.8585858585858586,0.3053259871441689,0.9149484536082475,0.7474226804123711,0.541036717062635,1.4838012958963283,0.0
