,teacher,student,sim,acc_ratio
0,efficientnet-b1,efficientnet-b0,0.8967123017937061,3.7389473684210524
1,efficientnet-b2,efficientnet-b0,0.8040420679621775,3.941052631578947
2,semnasnet_100,efficientnet-b0,0.7636968178271161,3.7136842105263157
3,mixnet_s,efficientnet-b0,0.5118127723168515,1.6042105263157893
4,tf_mobilenetv3_large_minimal_100,efficientnet-b0,0.55696798994722,3.1705263157894734
5,regnety_004,efficientnet-b0,0.3057646450583543,0.37105263157894736
6,rexnet_100,efficientnet-b0,0.6466093599305607,1.8189473684210524
7,efficientnet-b0,efficientnet-b1,0.8967123017937061,3.207920792079208
8,efficientnet-b2,efficientnet-b1,0.8965831688209313,3.227722772277228
9,semnasnet_100,efficientnet-b1,0.7239445954513667,2.891089108910891
10,mixnet_s,efficientnet-b1,0.49619229413713645,1.3267326732673268
11,rexnet_100,efficientnet-b1,0.604441456814874,1.900990099009901
12,efficientnet-b0,efficientnet-b2,0.8040420679621775,3.419795221843003
13,efficientnet-b1,efficientnet-b2,0.8965831688209313,3.358361774744027
14,mixnet_s,efficientnet-b2,0.46820399640849986,1.5972696245733788
15,regnety_004,efficientnet-b2,0.2808780727995868,0.931740614334471
16,regnetx_004,efficientnet-b2,0.27334845373940925,0.8293515358361775
17,rexnet_100,efficientnet-b2,0.5984025612128809,1.781569965870307
18,efficientnet-b0,semnasnet_100,0.7636968178271161,3.1366336633663363
19,efficientnet-b1,semnasnet_100,0.7239445954513668,2.4712871287128713
20,efficientnet-b2,semnasnet_100,0.6546196668390311,2.9227722772277227
21,mnasnet_100,semnasnet_100,0.7632455462288622,3.564356435643564
22,mixnet_s,semnasnet_100,0.4816046016958049,1.0336633663366337
23,tf_mobilenetv3_large_minimal_100,semnasnet_100,0.7070350153816781,2.685148514851485
24,regnety_004,semnasnet_100,0.31569148634029354,0.5762376237623762
25,rexnet_100,semnasnet_100,0.6363599710030657,1.0574257425742575
26,efficientnet-b0,mnasnet_100,0.6992465845799679,3.1749460043196542
27,efficientnet-b1,mnasnet_100,0.647096373979961,2.5399568034557234
28,efficientnet-b2,mnasnet_100,0.590857882294809,1.9049676025917925
29,semnasnet_100,mnasnet_100,0.7632455462288622,2.9028077753779695
30,mixnet_s,mnasnet_100,0.4859437412749224,1.3801295896328294
31,tf_mobilenetv3_large_minimal_100,mnasnet_100,0.7081059917577157,2.9287257019438444
32,rexnet_100,mnasnet_100,0.5631103765190408,1.140388768898488
33,efficientnet-b0,mixnet_s,0.5118127723168515,0.52834008097166
34,efficientnet-b1,mixnet_s,0.49619229413713645,0.4311740890688259
35,efficientnet-b2,mixnet_s,0.46820399640849986,0.5617408906882592
36,semnasnet_100,mixnet_s,0.4816046016958049,0.8866396761133604
37,mnasnet_100,mixnet_s,0.48594374127492235,0.8259109311740891
38,tf_mobilenetv3_large_minimal_100,mixnet_s,0.4919069254037883,0.8016194331983806
39,regnety_004,mixnet_s,0.28721007413440236,0.6012145748987855
40,regnetx_004,mixnet_s,0.23784263113980103,0.5678137651821863
41,rexnet_100,mixnet_s,0.46383865754454323,0.6163967611336033
42,efficientnet-b0,tf_mobilenetv3_large_minimal_100,0.55696798994722,2.8772597526165558
43,efficientnet-b1,tf_mobilenetv3_large_minimal_100,0.5326421445913405,2.1693625118934348
44,efficientnet-b2,tf_mobilenetv3_large_minimal_100,0.49139358599991567,2.660323501427212
45,semnasnet_100,tf_mobilenetv3_large_minimal_100,0.7070350153816781,5.183634633682208
46,mnasnet_100,tf_mobilenetv3_large_minimal_100,0.7081059917577157,4.247383444338725
47,mixnet_s,tf_mobilenetv3_large_minimal_100,0.4919069254037883,2.3977164605137964
48,regnety_004,tf_mobilenetv3_large_minimal_100,0.34925848716837027,1.9524262607040914
49,rexnet_100,tf_mobilenetv3_large_minimal_100,0.5581111090013409,2.5803996194100858
50,efficientnet-b0,regnety_004,0.3057646450583543,0.7857142857142857
51,efficientnet-b2,regnety_004,0.2808780727995868,0.8869047619047619
52,semnasnet_100,regnety_004,0.31569148634029354,0.8214285714285714
53,mnasnet_100,regnety_004,0.3196755425049013,0.7529761904761905
54,mixnet_s,regnety_004,0.28721007413440236,0.8452380952380952
55,tf_mobilenetv3_large_minimal_100,regnety_004,0.34925848716837027,0.7738095238095238
56,regnetx_004,regnety_004,0.5325355778836709,1.1904761904761905
57,rexnet_100,regnety_004,0.3105613792710821,0.7023809523809523
58,efficientnet-b0,regnetx_004,0.27807531131717256,0.6470588235294118
59,efficientnet-b1,regnetx_004,0.2800128083064948,0.673202614379085
60,efficientnet-b2,regnetx_004,0.27334845373940925,0.7810457516339869
61,semnasnet_100,regnetx_004,0.3012737793543472,0.8431372549019608
62,mnasnet_100,regnetx_004,0.3304475035080664,0.7516339869281046
63,mixnet_s,regnetx_004,0.23784263113980103,0.8562091503267973
64,tf_mobilenetv3_large_minimal_100,regnetx_004,0.3395712913510952,0.8366013071895425
65,regnety_004,regnetx_004,0.5325355778836709,0.6895424836601307
66,rexnet_100,regnetx_004,0.26965707494725194,0.7712418300653595
